mese,denominazione_regione,codice_regione,lat,long,notifiche_inviate,utenti_positivi
2020-10-31 00:01:00,Puglia,16,40.88008174833333,17.009317835,1270,45
2020-10-31 00:01:00,Toscana,9,43.627712522,10.895122839999999,4577,256
2020-11-30 00:01:00,Umbria,10,42.833735495,12.51746724,109,10
2020-11-30 00:01:00,Campania,15,40.92723816,14.583892388,153,13
2020-11-30 00:01:00,Lombardia,3,45.56078509583333,9.583767741666668,3716,698
2020-11-30 00:01:00,Valle d'Aosta,2,45.73750286,7.320149366,199,91
2020-11-30 00:01:00,Marche,11,43.368189516,13.436142725999998,229,51
2020-11-30 00:01:00,Molise,14,41.5728779,14.44245729,15,-1
2020-11-30 00:01:00,Abruzzo,13,42.4564388275,13.871007975,539,260
2020-11-30 00:01:00,Liguria,7,44.177938535,8.817461963,797,136
2020-11-30 00:01:00,Sardegna,20,39.86708044,8.8236011314,66,6
2020-11-30 00:01:00,Sicilia,19,37.57610475888889,14.274259175555557,259,53
2020-11-30 00:01:00,Lazio,12,41.964455604,12.74106344,2199,296
2020-11-30 00:01:00,Veneto,5,45.529245151428576,11.858031792857144,873,112
2020-11-30 00:01:00,Calabria,18,38.812980146,16.344182868,41,-1
2020-11-30 00:01:00,P.A. Bolzano,4,46.499334530000006,11.356624219999999,282,31
2020-11-30 00:01:00,Piemonte,1,45.1920620725,8.212714241625001,1429,206
2020-11-30 00:01:00,Puglia,16,40.88008174833333,17.009317835,356,55
2020-11-30 00:01:00,P.A. Trento,4,46.06893511,11.12123097,116,20
2020-11-30 00:01:00,Basilicata,17,40.653491145000004,16.20153638,39,13
2020-11-30 00:01:00,Toscana,9,43.627712522,10.895122839999999,3693,880
2020-11-30 00:01:00,Friuli Venezia Giulia,6,45.9019810475,13.321282225000001,65,13
2020-11-30 00:01:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,3679,604
2020-11-30 00:01:00,Estero,-1,-1.0,-1.0,11,-1
2020-12-31 00:01:00,Sardegna,20,39.86708044,8.8236011314,11,-1
2020-12-31 00:01:00,Liguria,7,44.177938535,8.817461962999998,64,43
2020-12-31 00:01:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,1531,641
2020-12-31 00:01:00,Abruzzo,13,42.4564388275,13.871007975,202,139
2020-12-31 00:01:00,Campania,15,40.92723816000001,14.583892388,53,23
2020-12-31 00:01:00,Veneto,5,45.529245151428576,11.858031792857144,194,64
