data,notifiche_inviate,utenti_positivi,notifiche_inviate_totali,utenti_positivi_totali
2021-10-02 00:00:00,56,37,111791,25720
2021-10-03 00:00:00,61,25,111852,25745
2021-10-04 00:00:00,83,18,111935,25763
2021-10-05 00:00:00,166,35,112101,25798
2021-10-06 00:00:00,150,38,112251,25836
2021-10-07 00:00:00,65,21,112316,25857
2021-10-08 00:00:00,44,37,112360,25894
2021-10-09 00:00:00,0,47,112360,25941
2021-10-10 00:00:00,0,19,112360,25960
2021-10-11 00:00:00,0,20,112360,25980
2021-10-12 00:00:00,0,33,112360,26013
2021-10-13 00:00:00,0,28,112360,26041
2021-10-14 00:00:00,0,28,112360,26069
2021-10-15 00:00:00,0,34,112360,26103
2021-10-16 00:00:00,0,40,112360,26143
2021-10-17 00:00:00,0,22,112360,26165
2021-10-18 00:00:00,0,28,112360,26193
2021-10-19 00:00:00,0,32,112360,26225
2021-10-20 00:00:00,0,51,112360,26276
2021-10-21 00:00:00,12,39,112372,26315
2021-10-22 00:00:00,94,53,112466,26368
2021-10-23 00:00:00,109,44,112575,26412
2021-10-24 00:00:00,86,34,112661,26446
2021-10-25 00:00:00,91,30,112752,26476
2021-10-26 00:00:00,158,43,112910,26519
2021-10-27 00:00:00,184,52,113094,26571
2021-10-28 00:00:00,172,54,113266,26625
2021-10-29 00:00:00,234,53,113500,26678
2021-10-30 00:00:00,186,45,113686,26723
2021-10-31 00:00:00,102,24,113788,26747
2021-11-01 00:00:00,86,46,113874,26793
2021-11-02 00:00:00,243,46,114117,26839
2021-11-03 00:00:00,289,47,114406,26886
2021-11-04 00:00:00,253,66,114659,26952
2021-11-05 00:00:00,342,78,115001,27030
2021-11-06 00:00:00,302,66,115303,27096
2021-11-07 00:00:00,248,49,115551,27145
2021-11-08 00:00:00,268,78,115819,27223
2021-11-09 00:00:00,404,75,116223,27298
2021-11-10 00:00:00,464,89,116687,27387
2021-11-11 00:00:00,366,112,117053,27499
2021-11-12 00:00:00,354,104,117407,27603
2021-11-13 00:00:00,417,97,117824,27700
2021-11-14 00:00:00,236,97,118060,27797
2021-11-15 00:00:00,173,67,118233,27864
2021-11-16 00:00:00,395,114,118628,27978
2021-11-17 00:00:00,471,105,119099,28083
2021-11-18 00:00:00,375,115,119474,28198
2021-11-19 00:00:00,317,132,119791,28330
2021-11-20 00:00:00,360,146,120151,28476
2021-11-21 00:00:00,314,111,120465,28587
2021-11-22 00:00:00,230,91,120695,28678
2021-11-23 00:00:00,250,113,120945,28791
